driver_id,kvs_filename,kvs_tag,kvs_sha256,kvs_authenti_sha256,tbs_sha256
57354c82-ff9c-4a54-8377-d195e4ff0a26,mhyprot2.sys,mhyprot2.sys,26d69e677d30bb53c7ac7f3fce76291fe2c44720ef17ee386f95f08ec5175288,000e984d3eebc54259a24a17745eed07d9c3658b86462cb5ebc26381302f7a38,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
b28cc2ee-d4a2-4fe4-9acb-a7a61cad20c6,,wiseunlo.sys,5e27fe26110d2b9f6c2bad407d3d0611356576b531564f75ff96f9f72d5fcae4,36861bb32abd5ba7955aa69269d27772f75d0306485d10ed045125816422c423,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
a7bba474-815f-49be-bddc-4d76a64c866c,ntiolib.sys,ntiolib.sys,5d530e111400785d183057113d70623e17af32931668ab7c7fc826f0fd4f91a3,7fa5c326b294f4fc537207a27947c2fcbbfa4eabde1ba4727c92cd8613e0fc7f,5b81998ed98b343c04134c336e03f3051779eae0e9f882e8339593d18556375d
0f21a584-6ace-4242-82cb-9766cea6973a,citmdrv_ia64.sys,citmdrv_ia64.sys,7f190f6e5ab0edafd63391506c2360230af4c2d56c45fc8996a168a1fc12d457,d453110c9050320419c2064ddea08230de6c76f86b07dc58112208e3d24a809e,07b8f662558ec85b71b43a79c6e94698144f4ced2308af21e7ba1e5d461da214
3ea63674-2599-43b5-9390-4a929ec99f48,ktgn.sys,ktgn.sys,,-,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
a7bba474-815f-49be-bddc-4d76a64c866c,ntiolib.sys,ntiolib.sys,131d5490ceb9a5b2324d8e927fea5becfc633015661de2f4c2f2375a3a3b64c6,7334c46a55acf8bb18435ab60ed9b89f2c1ab31587ef052730358efc32fddb62,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
2651f5c4-d9e1-4b06-92be-e9e7313f87c4,asio.sys,asio2.sys,506f953bbb285aeb8af0549eb24f52f3b7af36afe740afa36735bac70573ce28,c3e3719ca592ba65a67f594ec1a08d0d7ad724b088be77d48cb33627c56f4614,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
a4aa80bc-4ecd-49ab-bc0f-0f49b07fdd7f,,segwindrvx64.sys,0452a6e8f00bae0b79335c1799a26b2b77d603451f2e6cc3b137ad91996d4dec,b06dad9821beef3442cd9e775228baa56582a3a85c9d178693f3cf236623de17,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
5969b6dc-b136-480e-a527-3cb2ea2f0da9,hw.sys,hw.sys,fd388cf1df06d419b14dedbeb24c6f4dff37bea26018775f09d56b3067f0de2c,734b74798a680d2e534c14a033858c4081c7879af1f48037d9d5483aa27a7e90,f970426cc46d2ae0fc5f899fa19dbe76e05f07e525654c60c3c9399492c291f4
afed9dff-245e-4875-a156-3c5584beed03,directio64.sys,directio64.sys,0bc3685b0b8adc97931b5d31348da235cd7581a67edf6d79913e6a5709866135,40e624bf557b51775af1ca17062c4eca3693322e250b257aec7dc579e626ef07,40bddadac24dc61ca4fb5cab2a2bc5d876bc36808311039a7a3e1a4066f7489b
